release_date,peak,artist,track,label
Nov 19,1,"Nelly Featuring Paul Wall, Ali &amp; Gipp",Grillz,Fo’ Reel/Derrty 005897
Nov 19,20,Carrie Underwood,"Jesus, Take The Wheel",Arista Nashville Digital
Nov 19,32,Lil’ Wayne,Fireman,Cash Money 005621
Nov 19,72,Shinedown,Save Me,Atlantic Digital
Nov 26,3,Mary J. Blige,Be Without You,Geffen Digital
Nov 26,8,Eminem,When I’m Gone,Shady/Aftermath 006085
Nov 26,35,Purple Ribbon All-Stars,Kryptonite (I’m On It),Virgin 34040
Nov 26,57,Lindsay Lohan,Confessions Of A Broken Heart (Daughter To Father),Casablance/Universal
Dec 3,8,Jamie Foxx Featuring Ludacris,Unpredictable,J 75974
Dec 3,24,Daddy Yankee,Rompe,El Cartel 006476
Dec 3,39,Brad Paisley Featuring Dolly Parton,When I Get Where I’m Going,Arista Nashville
Dec 3,60,Sugarland,Just Might (Make Me Believe),Mercury Digital
Dec 3,79,Tim McGraw,My Old Friend,Curb Digital
Dec 3,67,Trey Songz,Gotta Go,Song Book
Dec 3,72,Big &amp; Rich,Comin’ To Your City,Warner Bros.
Dec 3,98,Martina McBride,(I Never Promised You A) Rose Garden,RCA Nashville Digital
Dec 10,1,Ne-Yo,So Sick,Def Jam 006190
Dec 10,5,Natasha Bedingfield,Unwritten,Epic Digital
Dec 10,41,Juvenile,Rodeo,Atlantic 94032
Dec 10,61,Kirk Franklin,Looking For You,Fo Yo Soul 73341
Dec 10,85,Wisin &amp; Yandel,Rakata,Mas Flow 005593
Dec 17,10,Cascada,Everytime We Touch,Robbins 72130
Dec 17,44,"Notorious B.I.G., The Featuring Diddy, Nelly, Jagged Edge &amp; Avery Storm",Nasty Girl,Bad Boy 94145
Dec 17,61,Miranda Lambert,Kerosene,Epic DD
Dec 17,94,Twista Featuring Pitbull,Hit The Floor,Atlantic 94129
Dec 17,97,Aventura Featuring Don Omar,Ella Y Yo,Premium Latin PROMO SINGLE
Dec 17,100,Trick-Trick Featuring Eminem,Welcome 2 Detroit,Wonderboy/Motown 005895
Dec 24,6,Eminem Featuring Nate Dogg,Shake That,Shady/Aftermath
Dec 24,16,Busta Rhymes,Touch It,Aftermath 006150
Dec 24,23,Bow Wow Featuring J-Kwon &amp; Jermaine Dupri,Fresh Azimiz,Columbia 75327
Dec 24,38,Josh Turner,Your Man,MCA Nashville Digital
Dec 24,51,Weezer,Perfect Situation,Geffen Digital
Dec 24,60,Brooks &amp; Dunn,Believe,Arista Nashville Digital
Dec 24,78,Christian Castro,Amor Eterno,Universal Latino
Dec 31,5,T-Pain Featuring Mike Jones,I’m N Luv (Wit A Stripper),Konvict Muzik/Jive 77102
Dec 31,7,Chris Brown,Yo (Excuse Me Miss),Jive 80865
Dec 31,36,Keith Urban,Tonight I Wanna Cry,Capitol Digital
Dec 31,39,Ludacris &amp; Field Mob Featuring Jamie Foxx,Georgia,DTP 005795
Dec 31,62,Montgomery Gentry,She Don’t Tell Me To,Columbia
